r_precision,ndcg,clicks,normalization,fixed,model,knob,topk_sim,factors,reg,iterations,epochs,dim,window,min_count,config,title_only_rprec,neighbours
0.3513320346738265,0.6187859815785517,0.16783216783216784,raw,topk_sim=200,item_cf,normalization,,,,,,,,,,,
0.3371275331930372,0.5913073292574831,0.42657342657342656,cosine,topk_sim=200,item_cf,normalization,,,,,,,,,,,
0.09971785381896575,0.20995465212393347,8.356643356643357,pmi,topk_sim=200,item_cf,normalization,,,,,,,,,,,
0.3104977345781806,0.47182543963120865,1.0652680652680653,,normalization=cosine,item_cf,topk_sim,25.0,,,,,,,,,,
0.33142059875122803,0.5273490784267317,0.7319347319347319,,normalization=cosine,item_cf,topk_sim,50.0,,,,,,,,,,
0.3363262919680364,0.5651150911898272,0.5034965034965035,,normalization=cosine,item_cf,topk_sim,100.0,,,,,,,,,,
0.3371275331930372,0.5913073292574831,0.42657342657342656,,normalization=cosine,item_cf,topk_sim,200.0,,,,,,,,,,
0.33739767632435796,0.6115370865248215,0.36596736596736595,,normalization=cosine,item_cf,topk_sim,400.0,,,,,,,,,,
0.34454900315842374,0.5988650645092295,0.358974358974359,,"reg=0.05,iters=15",als,factors,,16.0,,,,,,,,,
0.3462789716396949,0.6049209665370272,0.1958041958041958,,"reg=0.05,iters=15",als,factors,,32.0,,,,,,,,,
0.33621085675420087,0.588671839874229,0.38461538461538464,,"reg=0.05,iters=15",als,factors,,64.0,,,,,,,,,
0.32639983476934004,0.5667809638729825,0.48951048951048953,,"reg=0.05,iters=15",als,factors,,128.0,,,,,,,,,
0.3345524169745739,0.5750200126419474,0.2913752913752914,,"factors=64,iters=15",als,reg,,,0.001,,,,,,,,
0.33617379408110065,0.5807917232467547,0.34965034965034963,,"factors=64,iters=15",als,reg,,,0.01,,,,,,,,
0.33621085675420087,0.588671839874229,0.38461538461538464,,"factors=64,iters=15",als,reg,,,0.05,,,,,,,,
0.3377577807239996,0.5874871256150928,0.42657342657342656,,"factors=64,iters=15",als,reg,,,0.1,,,,,,,,
0.34567916044816177,0.5830300779767622,0.5151515151515151,,"factors=64,iters=15",als,reg,,,0.5,,,,,,,,
0.340878420715689,0.6007887491087834,0.34032634032634035,,"factors=64,reg=0.05",als,iterations,,,,3.0,,,,,,,
0.3409612874708343,0.5982595831382275,0.3543123543123543,,"factors=64,reg=0.05",als,iterations,,,,5.0,,,,,,,
0.34056813467748653,0.5926201648421056,0.35664335664335667,,"factors=64,reg=0.05",als,iterations,,,,10.0,,,,,,,
0.33621085675420087,0.588671839874229,0.38461538461538464,,"factors=64,reg=0.05",als,iterations,,,,15.0,,,,,,,
0.33257181244243167,0.5829293566348277,0.40093240093240096,,"factors=64,reg=0.05",als,iterations,,,,25.0,,,,,,,
0.1818869524499375,0.3872627971295825,2.282051282051282,,"dim=64,window=8,min_count=1",track2vec,epochs,,,,,5.0,,,,,,
0.1071115823981937,0.3048308021175692,4.9743589743589745,,"dim=64,window=8,min_count=1",track2vec,epochs,,,,,10.0,,,,,,
0.09571417691702394,0.28297997634811,8.165501165501166,,"dim=64,window=8,min_count=1",track2vec,epochs,,,,,20.0,,,,,,
0.09905604843805829,0.29181754816038635,6.897435897435898,,"dim=64,window=8,min_count=1",track2vec,epochs,,,,,40.0,,,,,,
