r_precision,ndcg,clicks,model,n_playlists,n_cases
0.1623714864923993,0.47242786677315945,0.24378109452736318,popularity,2000,402
0.3952922571313787,0.6783839465327353,0.22885572139303484,item_cf,2000,402
0.38790109089828895,0.6488973705591573,0.22139303482587064,als,2000,402
0.2959230476235325,0.5595231530409586,0.6865671641791045,track2vec,2000,402
0.3619947050259907,0.6582140091097491,0.16417910447761194,title,2000,402
0.368256041237175,0.6110655715348361,0.3358208955223881,taste_engine,2000,402
0.4001109852420347,0.687378756391133,0.26865671641791045,hybrid,2000,402
0.17194092112938247,0.4362058677344941,0.30260047281323876,popularity,5000,423
0.3304967265239776,0.5937738936278752,0.5791962174940898,item_cf,5000,423
0.3355273572838487,0.5969586640291497,0.32860520094562645,als,5000,423
0.19341178584879692,0.3990490554536542,2.4231678486997636,track2vec,5000,423
0.3240922243561093,0.6028465633242459,0.2695035460992908,title,5000,423
0.3244679316470443,0.535332764447246,0.9385342789598109,taste_engine,5000,423
0.33628405492903163,0.6413398503251622,0.23404255319148937,hybrid,5000,423
0.15953765198250877,0.42782111258724764,0.29571106094808125,popularity,10000,443
0.33171852051741607,0.5800123207408101,0.2866817155756208,item_cf,10000,443
0.337873741876755,0.5918595183974562,0.09706546275395034,als,10000,443
0.1117597517981962,0.2640926298979605,7.340857787810384,track2vec,10000,443
0.307561725857138,0.5690187939053349,0.17607223476297967,title,10000,443
0.31868281890380434,0.5242811420044219,0.49887133182844245,taste_engine,10000,443
0.3436871538112912,0.6213514842733654,0.11512415349887133,hybrid,10000,443
0.168631553637839,0.42257456332118754,0.18058690744920994,popularity,20000,443
0.29132588110447827,0.5353934033863118,0.6230248306997742,item_cf,20000,443
0.3026598423921409,0.5537927822441006,0.36794582392776526,als,20000,443
0.057225778925569,0.10139298696977626,21.081264108352144,track2vec,20000,443
0.2944372385953365,0.5373186753056636,0.3837471783295711,title,20000,443
0.2798566249695383,0.45853955340922914,1.7291196388261851,taste_engine,20000,443
0.3132205424502796,0.5847806250095068,0.1963882618510158,hybrid,20000,443
