r_precision,ndcg,clicks,trust,mode,knob,axis,delta,k,ari,purity,rec_rprec,cf_weight
0.3231712708271856,0.5462625925642955,0.6107226107226107,0.0,honest,trust,,,,,,,
0.32396787437200586,0.544802095383679,0.6923076923076923,0.25,honest,trust,,,,,,,
0.32601037440579456,0.5455813894839534,0.6923076923076923,0.5,honest,trust,,,,,,,
0.3260722478437462,0.5477842115894692,0.682983682983683,0.75,honest,trust,,,,,,,
0.32799040223521003,0.5492835194463673,0.6503496503496503,1.0,honest,trust,,,,,,,
0.3258436921153059,0.5455311949523337,0.5967365967365967,0.0,adversarial,trust,,,,,,,
0.30375798651820063,0.4906910087038569,5.396270396270396,0.25,adversarial,trust,,,,,,,
0.1310347079885297,0.2419967236300036,8.403263403263404,0.5,adversarial,trust,,,,,,,
0.01852315998980966,0.04342065554697743,29.67132867132867,0.75,adversarial,trust,,,,,,,
0.019347424883183018,0.046839276795312884,28.913752913752912,1.0,adversarial,trust,,,,,,,
0.324895427989861,0.5459829939210645,0.6013986013986014,,,axis_ablation,(none),0.0,,,,,
0.3267985615269869,0.5466968497017763,0.627039627039627,,,axis_ablation,tempo,0.0019031335371259006,,,,,
0.32206601221199005,0.5469718394414531,0.6107226107226107,,,axis_ablation,energy,-0.002829415777870936,,,,,
0.3230397817988733,0.5477168096885364,0.6083916083916084,,,axis_ablation,valence,-0.0018556461909876587,,,,,
0.32563603405956715,0.5448149556447718,0.6223776223776224,,,axis_ablation,acousticness,0.0007406060697061623,,,,,
0.3258248197594209,0.5465990152332078,0.6153846153846154,,,axis_ablation,lyrical_depth,0.0009293917695599174,,,,,
0.3255362438862461,0.5434786549711348,0.5944055944055944,,,axis_ablation,genre:country,0.0006408158963850941,,,,,
0.3281114311690455,0.5451876230578391,0.6107226107226107,,,axis_ablation,genre:rap,0.0032160031791845234,,,,,
0.3255560994189989,0.5444133538153891,0.6223776223776224,,,axis_ablation,genre:indie,0.0006606714291378935,,,,,
0.3240169084498421,0.5466376929276775,0.6177156177156177,,,axis_ablation,genre:pop,-0.000878519540018885,,,,,
0.32715425851733915,0.549423837166584,0.6037296037296037,,,axis_ablation,genre:rock,0.0022588305274781617,,,,,
0.32647635310979073,0.5448754587857026,0.585081585081585,,,axis_ablation,genre:electronic,0.0015809251199297436,,,,,
0.32439127545500557,0.5445155936162378,0.6013986013986014,,,axis_ablation,genre:folk,-0.0005041525348554177,,,,,
0.3239650767422184,0.545314799566352,0.5920745920745921,,,axis_ablation,genre:metal,-0.000930351247642569,,,,,
0.3260635475213843,0.5441761477321962,0.6130536130536131,,,axis_ablation,genre:rnb,0.0011681195315232928,,,,,
0.3232708186795015,0.5464285065996211,0.6083916083916084,,,axis_ablation,genre:jazz,-0.0016246093103594594,,,,,
,,,,,flavor_k,,,1.0,0.0,0.8198674125142877,0.3235657281286676,
,,,,,flavor_k,,,2.0,0.8769988774991414,0.93249314826741,0.32295045392844424,
,,,,,flavor_k,,,3.0,0.9802767455769328,0.9610106256146067,0.3248059344302946,
,,,,,flavor_k,,,5.0,0.7578556430286347,0.9902120817424577,0.32439207765693706,
,,,,,flavor_k,,,8.0,0.2516414266162984,0.9980128053536225,0.3229814801163321,
0.12210605113893507,0.3271987578814449,3.2051282051282053,,,cf_weight,,,,,,,0.0
0.2477773262524178,0.4635323848950471,0.8111888111888111,,,cf_weight,,,,,,,0.15
0.3047633072899512,0.5201486239336774,0.6783216783216783,,,cf_weight,,,,,,,0.3
0.3258045086927408,0.5473216051847155,0.5990675990675991,,,cf_weight,,,,,,,0.6
0.332269296863095,0.5584094476487242,0.5920745920745921,,,cf_weight,,,,,,,1.0
0.336526729695181,0.5717041933103025,0.5641025641025641,,,cf_weight,,,,,,,2.0
