setting,config,n_seeds,mean_f1,mean_precision,mean_recall,mean_loc_mae,seasonal_fp_rate,trap_fp_rate,fp_other_per_run,composite
subtle,baseline_scan,8,0.44642857142857145,0.3,0.875,6.25,1.0,0.5,0.0,0.07142857142857145
subtle,cusum/scalar_axes,8,0.369047619047619,0.275,0.5625,4.5,0.6875,0.125,0.5,0.165922619047619
subtle,cusum/combined,8,0.4494047619047619,0.3125,0.8125,3.125,0.875,0.0625,1.0,0.21502976190476192
subtle,pelt_l2/scalar_axes,8,0.32142857142857145,0.22500000000000003,0.5625,3.142857142857143,1.0,0.375,0.0,-0.022321428571428548
subtle,pelt_l2/combined,8,0.28571428571428575,0.2,0.5,3.25,1.0,0.5,0.0,-0.08928571428571425
subtle,pelt_rbf/scalar_axes,8,0.75,0.625,0.9375,3.5625,0.5,0.0625,0.0,0.609375
subtle,pelt_rbf/combined,8,0.75,0.625,0.9375,3.625,0.5,0.0625,0.0,0.609375
subtle,pelt_rbf/combined/pen1.5x,8,0.9375,0.9375,0.9375,3.625,0.0,0.0625,0.0,0.921875
sparse,baseline_scan,8,0.5246503496503496,0.36047979797979796,0.96875,3.9375,0.9375,0.1875,2.875,0.24340034965034962
sparse,cusum/scalar_axes,8,0.8285714285714285,0.875,0.8125,1.375,0.1875,0.0,0.125,0.7816964285714285
sparse,cusum/combined,8,0.7775523088023089,0.6970238095238095,0.9166666666666666,0.90625,0.5625,0.0,0.375,0.6369273088023089
sparse,pelt_l2/scalar_axes,8,0.8842261904761904,0.9270833333333333,0.8541666666666666,1.0625,0.125,0.0,0.0,0.8529761904761904
sparse,pelt_l2/combined,8,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,0.0,1.0
sparse,pelt_rbf/scalar_axes,8,0.9142857142857143,1.0,0.8541666666666666,1.0625,0.0,0.0,0.0,0.9142857142857143
sparse,pelt_rbf/combined,8,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,0.0,1.0
sparse,pelt_rbf/combined/pen1.5x,8,0.975,1.0,0.9583333333333333,0.9375,0.0,0.0,0.0,0.975
