config,n_seeds,mean_f1,mean_precision,mean_recall,seasonal_fp_rate,per_history_dec_fp,trap_fp_rate,fp_other_per_run,composite
pelt_rbf/combined/off/pen1.0x,30,0.9822222222222223,0.9777777777777777,0.9888888888888888,0.03333333333333333,0.06666666666666667,0.0,0.0,0.973888888888889
pelt_rbf/combined/off/pen1.5x,30,0.9698412698412698,0.9888888888888888,0.9555555555555555,0.016666666666666666,0.03333333333333333,0.0,0.0,0.9656746031746032
pelt_rbf/combined/off/pen2.0x,30,0.9422222222222223,1.0,0.9027777777777778,0.0,0.0,0.0,0.0,0.9422222222222223
pelt_l2/combined/off,30,0.9632010582010582,0.9383333333333334,1.0,0.13333333333333333,0.2,0.0,0.0,0.9298677248677248
cusum/scalar_axes/off,30,0.8807407407407408,0.9166666666666666,0.8722222222222222,0.15,0.2,0.0,0.03333333333333333,0.8432407407407408
bocpd/scalar_axes/off,30,0.8864285714285713,0.8727777777777778,0.925,0.25,0.43333333333333335,0.0,0.0,0.8239285714285713
pelt_rbf/combined/on,30,0.756851851851852,0.7294444444444446,0.8138888888888888,0.23333333333333334,0.4666666666666667,0.03333333333333333,0.5,0.6901851851851853
pelt_l2/combined/on,30,0.7566931216931218,0.7327777777777779,0.7972222222222222,0.23333333333333334,0.4666666666666667,0.03333333333333333,0.43333333333333335,0.6900264550264551
cusum/scalar_axes/on,30,0.5117267917267918,0.5048412698412699,0.538888888888889,0.2,0.4,0.13333333333333333,1.1,0.42839345839345844
baseline_scan,30,0.5455085655085655,0.3805711880711881,0.9805555555555555,0.9166666666666666,1.0,0.25,2.2666666666666666,0.2538418988418989
