model,scenario,n,r_precision,ndcg,clicks
popularity,title_only,250,0.030473676977390066,0.07797812611622469,19.72
popularity,title_1,250,0.01984883026925378,0.05717898287210973,25.856
popularity,title_5,250,0.024960391396973234,0.06855923426737576,24.412
popularity,no_title_5,250,0.02083659183657341,0.06549387572497781,24.32
popularity,title_10,250,0.01929544103733078,0.06640050535183216,25.188
popularity,no_title_10,250,0.020284211741510128,0.06126569506935691,25.736
popularity,title_25,250,0.025901025233794613,0.06794979746255403,21.392
popularity,title_random_25,250,0.03133173481461289,0.08350644433379893,18.808
popularity,title_100,250,0.03607077164857792,0.0758943380317172,17.076
popularity,title_random_100,250,0.0418821043547812,0.0909484021378255,14.472
popularity,OVERALL,2500,0.02708847793107979,0.07151754013677734,21.698
item_cf,title_only,250,0.030473676977390066,0.07797812611622469,19.72
item_cf,title_1,250,0.11791739422347301,0.1956436119190314,11.556
item_cf,title_5,250,0.1414279414571141,0.2777042882289283,5.584
item_cf,no_title_5,250,0.15417240616238315,0.2897193898361728,4.768
item_cf,title_10,250,0.13615818077360767,0.2979965672736432,3.808
item_cf,no_title_10,250,0.14213462340938496,0.28674499424320693,5.376
item_cf,title_25,250,0.14454385207577433,0.3104956679545578,3.108
item_cf,title_random_25,250,0.21197813938417664,0.4189103125256145,1.136
item_cf,title_100,250,0.15509218053050838,0.30219689165487473,1.596
item_cf,title_random_100,250,0.2461051301117243,0.46129961091803834,0.292
item_cf,OVERALL,2500,0.14800035251055352,0.2918689460670293,5.6944
als,title_only,250,0.030473676977390066,0.07797812611622469,19.72
als,title_1,250,0.09261555499969704,0.18839001369438793,12.308
als,title_5,250,0.10416009376227892,0.22683173540187848,8.948
als,no_title_5,250,0.11104736729455034,0.22558806175992013,8.908
als,title_10,250,0.11314758183830463,0.23560391033599457,7.504
als,no_title_10,250,0.09377613456590306,0.20554465476306577,10.604
als,title_25,250,0.1215220298284465,0.24501234918211157,5.592
als,title_random_25,250,0.1546509746645382,0.2920928639031351,3.94
als,title_100,250,0.1285531128913661,0.24836039499466886,2.456
als,title_random_100,250,0.17993578011081784,0.31717766314155726,0.764
als,OVERALL,2500,0.11298823069332932,0.2262579773292948,8.0744
track2vec,title_only,250,0.030473676977390066,0.07797812611622469,19.72
track2vec,title_1,250,0.07602749385127665,0.1450754942550629,16.952
track2vec,title_5,250,0.06925938551116312,0.1440913481187196,12.876
track2vec,no_title_5,250,0.0753687349149387,0.15110054898000466,12.508
track2vec,title_10,250,0.06011711688463864,0.1404157563395096,15.236
track2vec,no_title_10,250,0.0592156731964374,0.13824371384306358,15.148
track2vec,title_25,250,0.051336853274024694,0.11913091232392985,14.74
track2vec,title_random_25,250,0.061440254214499876,0.14246314493256254,8.592
track2vec,title_100,250,0.04213935907625927,0.07629432776968945,16.64
track2vec,title_random_100,250,0.056231655720429916,0.11386425583330907,9.52
track2vec,OVERALL,2500,0.05816102036210574,0.12486576285120764,14.1932
title,title_only,250,0.07609489647617972,0.15489425760996856,14.28
title,title_1,250,0.06141598469933059,0.13255165862560198,19.304
title,title_5,250,0.06262977154765104,0.13341852170868118,18.796
title,no_title_5,250,0.02083659183657341,0.06549387572497781,24.32
title,title_10,250,0.05875425635423934,0.1291525555519995,19.652
title,no_title_10,250,0.020284211741510128,0.06126569506935691,25.736
title,title_25,250,0.07133386232541407,0.14461680766820148,14.656
title,title_random_25,250,0.0713057314023023,0.1443736207814992,14.564
title,title_100,250,0.08485819658171632,0.15365511674128815,9.368
title,title_random_100,250,0.09941469547844475,0.1795767191989561,8.12
title,OVERALL,2500,0.06269281984433608,0.12989988286805296,16.8796
hybrid,title_only,250,0.04384601340895589,0.13155773772496948,14.564
hybrid,title_1,250,0.12100484354723635,0.24494268011355397,8.184
hybrid,title_5,250,0.1240435879378455,0.2680485768945048,5.504
hybrid,no_title_5,250,0.15032086736040992,0.3015400363043634,4.612
hybrid,title_10,250,0.12254591075557804,0.2745122746046804,4.724
hybrid,no_title_10,250,0.14120613527154277,0.2904017790885957,5.312
hybrid,title_25,250,0.125816074833281,0.27770749537715717,3.58
hybrid,title_random_25,250,0.17118731689980962,0.3509973047618778,1.32
hybrid,title_100,250,0.12298401549100764,0.262405986068454,2.412
hybrid,title_random_100,250,0.1822738965692,0.36316340866893243,0.808
hybrid,OVERALL,2500,0.1305228662074864,0.27652772796070874,5.102
routed_hybrid,title_only,250,0.07609489647617972,0.15489425760996856,14.28
routed_hybrid,title_1,250,0.08427744380112555,0.19006665162928615,10.836
routed_hybrid,title_5,250,0.10991762587722345,0.24184483266918214,6.524
routed_hybrid,no_title_5,250,0.15032086736040992,0.3015400363043634,4.612
routed_hybrid,title_10,250,0.12254591075557804,0.2745122746046804,4.724
routed_hybrid,no_title_10,250,0.14120613527154277,0.2904017790885957,5.312
routed_hybrid,title_25,250,0.125816074833281,0.27770749537715717,3.58
routed_hybrid,title_random_25,250,0.17118731689980962,0.3509973047618778,1.32
routed_hybrid,title_100,250,0.12298401549100764,0.262405986068454,2.412
routed_hybrid,title_random_100,250,0.1822738965692,0.36316340866893243,0.808
routed_hybrid,OVERALL,2500,0.12866241833353556,0.27075340267824993,5.4408
