model,scenario,n,r_precision,ndcg,clicks
popularity,title_only,250,0.032638479660617746,0.09387792534098995,20.92
popularity,title_1,250,0.021269114001034754,0.0686793527870589,29.84
popularity,title_5,250,0.025555011018508444,0.08343535977386507,24.752
popularity,no_title_5,250,0.02627882068283167,0.08734138410938966,24.564
popularity,title_10,250,0.016705298487572563,0.06923617319132588,25.5
popularity,no_title_10,250,0.024688833523105174,0.07993509042705825,25.2
popularity,title_25,250,0.027578166794150524,0.08860332273889521,18.128
popularity,title_random_25,250,0.039466033867025845,0.10780427877185278,16.104
popularity,title_100,44,0.04065164950627321,0.10094765416839119,15.454545454545455
popularity,title_random_100,43,0.04583890369391534,0.1247073401081287,9.046511627906977
popularity,OVERALL,2087,0.02745792282981605,0.08602411796510191,22.674173454719693
item_cf,title_only,250,0.032638479660617746,0.09387792534098995,20.92
item_cf,title_1,250,0.12787057692416925,0.2136674890767528,16.48
item_cf,title_5,250,0.13674341600295142,0.2849349048111349,5.068
item_cf,no_title_5,250,0.1289458093096518,0.28107322708619475,7.272
item_cf,title_10,250,0.1199760983343502,0.2805834346749502,5.376
item_cf,no_title_10,250,0.12467899454234306,0.2966191697628227,5.188
item_cf,title_25,250,0.14186186990641714,0.3201243901143845,2.524
item_cf,title_random_25,250,0.23895215197602193,0.466963089348736,1.264
item_cf,title_100,44,0.13519096093316102,0.29442314585675455,2.8863636363636362
item_cf,title_random_100,43,0.21985363332248842,0.4356716934154314,0.6744186046511628
item_cf,OVERALL,2087,0.13335838892096635,0.28325319060304394,7.75227599425012
title,title_only,250,0.08474693670394566,0.1676396864745198,15.316
title,title_1,250,0.059893878330372914,0.12334680271164601,26.636
title,title_5,250,0.06730891947374316,0.13917170746835217,19.708
title,no_title_5,250,0.02627882068283167,0.08734138410938966,24.564
title,title_10,250,0.05966194293446612,0.13772864047027003,18.684
title,no_title_10,250,0.024688833523105174,0.07993509042705825,25.2
title,title_25,250,0.07299366198517583,0.15465229752871604,13.08
title,title_random_25,250,0.08593837877051153,0.1727351655042263,11.82
title,title_100,44,0.06057967944511851,0.13658187195780935,14.590909090909092
title,title_random_100,43,0.05845166325680435,0.11909469156417787,12.976744186046512
title,OVERALL,2087,0.06016136584411394,0.1326154134053415,19.143267848586486
taste_engine,title_only,250,0.032638479660617746,0.09387792534098995,20.92
taste_engine,title_1,250,0.11197802500139864,0.15163557408555756,23.828
taste_engine,title_5,250,0.12044787175201213,0.19091160338183968,10.376
taste_engine,no_title_5,250,0.1094758178140808,0.18102958182715168,13.192
taste_engine,title_10,250,0.10258023819402241,0.19075502842793116,10.924
taste_engine,no_title_10,250,0.10758861009449207,0.20074505238869175,10.124
taste_engine,title_25,250,0.12627467831928738,0.20439787875340887,5.568
taste_engine,title_random_25,250,0.2089823210026567,0.3419532377149717,2.116
taste_engine,title_100,44,0.11287483872745203,0.18023660308554537,5.5227272727272725
taste_engine,title_random_100,43,0.20491702397384234,0.3333552573355549,1.0232558139534884
taste_engine,OVERALL,2087,0.11680375438166014,0.19697707574572534,11.762817441303307
