model,scenario,n,r_precision,ndcg,clicks
popularity,title_only,100,0.1933581759170469,0.49186004604474043,0.03
popularity,title_1,100,0.1601639793711768,0.4391659466349415,0.06
popularity,title_5,100,0.16221746460777514,0.42476768868016285,0.28
popularity,no_title_5,100,0.15728955705356826,0.4290077707492535,0.4
popularity,title_10,100,0.17394936358790847,0.4290930873447572,0.39
popularity,no_title_10,100,0.1753712233758673,0.4326858399770292,0.22
popularity,title_25,100,0.17553844026990298,0.44810690375927004,0.01
popularity,title_random_25,100,0.1423108626566619,0.4015986900486627,0.28
popularity,title_100,25,0.22437185109001692,0.46619211286628043,0.0
popularity,title_random_100,25,0.11686243137167229,0.3268776625589236,0.32
popularity,OVERALL,850,0.16770678087709803,0.4346533431876606,0.20588235294117646
item_cf,title_only,100,0.1933581759170469,0.49186004604474043,0.03
item_cf,title_1,100,0.42932015426300635,0.6450298395360062,0.04
item_cf,title_5,100,0.3201836992270649,0.5719845603830901,0.48
item_cf,no_title_5,100,0.33972153283073886,0.5770171927846217,0.32
item_cf,title_10,100,0.2313481199098458,0.4856878298096304,0.76
item_cf,no_title_10,100,0.23605835958632007,0.4576702673928291,1.43
item_cf,title_25,100,0.2655101440112472,0.5141671366688607,0.73
item_cf,title_random_25,100,0.43485090483540517,0.7169037539732281,0.0
item_cf,title_100,25,0.2364838817240714,0.49702110742603983,0.16
item_cf,title_random_100,25,0.4677371059977476,0.7691231039807767,0.0
item_cf,OVERALL,850,0.3089889808836626,0.5619831387582012,0.4505882352941176
als,title_only,100,0.1933581759170469,0.49186004604474043,0.03
als,title_1,100,0.39996305204242455,0.6579629646645021,0.0
als,title_5,100,0.3189503788863194,0.5856045890151749,0.16
als,no_title_5,100,0.3325460656901679,0.5776377360800764,0.53
als,title_10,100,0.24881457895389772,0.4917202946521607,0.97
als,no_title_10,100,0.241759339978477,0.47075549224361074,1.81
als,title_25,100,0.2823032900482196,0.515817170464268,0.18
als,title_random_25,100,0.4522848679917159,0.7263243639107664,0.0
als,title_100,25,0.2735560100326382,0.5145920340894989,0.0
als,title_random_100,25,0.4291904096754671,0.7290275504277439,0.0
als,OVERALL,850,0.3112548652276822,0.5680691239064243,0.4329411764705882
track2vec,title_only,100,0.1933581759170469,0.49186004604474043,0.03
track2vec,title_1,100,0.22604099947376435,0.4513676821240221,2.35
track2vec,title_5,100,0.11425668673340818,0.29132630941361515,8.66
track2vec,no_title_5,100,0.12171173074352014,0.2975885372549498,8.42
track2vec,title_10,100,0.0611972642510568,0.20975863064900613,9.09
track2vec,no_title_10,100,0.05659589102632832,0.1916860693047832,12.05
track2vec,title_25,100,0.08258210776896996,0.24355158318819417,6.82
track2vec,title_random_25,100,0.10100775296159721,0.3201255604301538,3.4
track2vec,title_100,25,0.10024006154038535,0.24549910861349697,6.4
track2vec,title_random_100,25,0.14159105222779528,0.4131344726203598,2.68
track2vec,OVERALL,850,0.1196715749785573,0.3131673898491681,6.245882352941177
title,title_only,100,0.47443188118031765,0.7525252917809508,0.0
title,title_1,100,0.44885824188032947,0.7234342027375846,0.0
title,title_5,100,0.3085057429839908,0.567908967695697,0.35
title,no_title_5,100,0.15728955705356826,0.4290077707492535,0.4
title,title_10,100,0.21259475164283592,0.49066165317479454,0.49
title,no_title_10,100,0.1753712233758673,0.4326858399770292,0.22
title,title_25,100,0.25595477881669315,0.5169640445554853,0.36
title,title_random_25,100,0.4179687858433846,0.692516834066169,0.0
title,title_100,25,0.2657338348135964,0.5138269431764209,0.0
title,title_random_100,25,0.3934775931766352,0.6651787794069604,0.28
title,OVERALL,850,0.3077385670322994,0.576524239456801,0.2223529411764706
taste_engine,title_only,100,0.1933581759170469,0.49186004604474043,0.03
taste_engine,title_1,100,0.4378115786056964,0.665541903064127,0.04
taste_engine,title_5,100,0.30117149247109176,0.5105881795486822,1.23
taste_engine,no_title_5,100,0.31237381029481337,0.5173787918041526,0.79
taste_engine,title_10,100,0.22974640532970628,0.4048761902884827,2.8
taste_engine,no_title_10,100,0.2244332226188843,0.37929541899232966,4.64
taste_engine,title_25,100,0.2602714021532602,0.4384827927889057,1.53
taste_engine,title_random_25,100,0.42083069082663305,0.6746107849456573,0.0
taste_engine,title_100,25,0.21856147459281888,0.373861381276986,1.6
taste_engine,title_random_100,25,0.44890643728636515,0.7621189287865726,0.0
taste_engine,OVERALL,850,0.2996310301396389,0.5137210805874074,1.348235294117647
hybrid,title_only,100,0.16918042501062505,0.5076559105276639,0.1
hybrid,title_1,100,0.44936476043229207,0.7279226067729274,0.02
hybrid,title_5,100,0.33912510969409687,0.623976806026273,0.08
hybrid,no_title_5,100,0.3544444770058622,0.6295187926519699,0.16
hybrid,title_10,100,0.2660727636012078,0.5439265501685747,0.23
hybrid,no_title_10,100,0.2675138542657892,0.5315066791718731,0.45
hybrid,title_25,100,0.30037173806223527,0.5745612475521218,0.03
hybrid,title_random_25,100,0.4430227704338052,0.7260755070581872,0.0
hybrid,title_100,25,0.25151170351809654,0.5574639433284105,0.0
hybrid,title_random_100,25,0.3550641070267111,0.6662294682348028,0.0
hybrid,OVERALL,850,0.32243998248730776,0.6083608768023995,0.12588235294117647
