model,scenario,n,r_precision,ndcg,clicks
popularity,title_only,100,0.1933581759170469,0.49186004604474043,0.03
popularity,title_1,100,0.1601639793711768,0.4391659466349415,0.06
popularity,title_5,100,0.16221746460777514,0.42476768868016285,0.28
popularity,no_title_5,100,0.15728955705356826,0.4290077707492535,0.4
popularity,title_10,100,0.17394936358790847,0.4290930873447572,0.39
popularity,no_title_10,100,0.1753712233758673,0.4326858399770292,0.22
popularity,title_25,100,0.17553844026990298,0.44810690375927004,0.01
popularity,title_random_25,100,0.1423108626566619,0.4015986900486627,0.28
popularity,title_100,25,0.22437185109001692,0.46619211286628043,0.0
popularity,title_random_100,25,0.11686243137167229,0.3268776625589236,0.32
popularity,OVERALL,850,0.16770678087709803,0.4346533431876606,0.20588235294117646
item_cf,title_only,100,0.1933581759170469,0.49186004604474043,0.03
item_cf,title_1,100,0.42932015426300635,0.6450298395360062,0.04
item_cf,title_5,100,0.3201836992270649,0.5719845603830901,0.48
item_cf,no_title_5,100,0.33972153283073886,0.5770171927846217,0.32
item_cf,title_10,100,0.2313481199098458,0.4856878298096304,0.76
item_cf,no_title_10,100,0.23605835958632007,0.4576702673928291,1.43
item_cf,title_25,100,0.2655101440112472,0.5141671366688607,0.73
item_cf,title_random_25,100,0.43485090483540517,0.7169037539732281,0.0
item_cf,title_100,25,0.2364838817240714,0.49702110742603983,0.16
item_cf,title_random_100,25,0.4677371059977476,0.7691231039807767,0.0
item_cf,OVERALL,850,0.3089889808836626,0.5619831387582012,0.4505882352941176
als,title_only,100,0.1933581759170469,0.49186004604474043,0.03
als,title_1,100,0.37671163769458,0.6110030625865429,0.19
als,title_5,100,0.3250476453789081,0.604689867969643,0.18
als,no_title_5,100,0.34322826314170307,0.6007308303997259,0.19
als,title_10,100,0.2334886617510456,0.5080439381994646,0.49
als,no_title_10,100,0.23182031018302302,0.4797449995321743,1.08
als,title_25,100,0.2728018263721648,0.5272826398134922,0.31
als,title_random_25,100,0.44231391582741764,0.7435578386256841,0.0
als,title_100,25,0.25977314286337894,0.5029423169736181,0.2
als,title_random_100,25,0.4848113667989083,0.8041653248048728,0.0
als,OVERALL,850,0.30646077219781914,0.5757282510136581,0.2964705882352941
track2vec,title_only,100,0.1933581759170469,0.49186004604474043,0.03
track2vec,title_1,100,0.2207117478105202,0.4559433873716703,1.79
