mode,seed,n_axis_tests,raw_p_hits,raw_fp_rate,n_boundaries,n_flagged_corrected,corrected_flag_rate,n_transitions,n_detected,sensitivity,n_flagged_boundaries
stationary,1000,230.0,18.0,0.0782608695652174,23.0,0.0,0.0,,,,
stationary,1001,230.0,12.0,0.05217391304347826,23.0,0.0,0.0,,,,
stationary,1002,230.0,14.0,0.06086956521739131,23.0,0.0,0.0,,,,
stationary,1003,230.0,19.0,0.08260869565217391,23.0,0.0,0.0,,,,
stationary,1004,230.0,9.0,0.0391304347826087,23.0,0.0,0.0,,,,
stationary,1005,230.0,21.0,0.09130434782608696,23.0,0.0,0.0,,,,
stationary,1006,230.0,14.0,0.06086956521739131,23.0,0.0,0.0,,,,
stationary,1007,230.0,13.0,0.05652173913043478,23.0,0.0,0.0,,,,
stationary,1008,230.0,15.0,0.06521739130434782,23.0,0.0,0.0,,,,
stationary,1009,230.0,8.0,0.034782608695652174,23.0,0.0,0.0,,,,
stationary,1010,230.0,7.0,0.030434782608695653,23.0,0.0,0.0,,,,
stationary,1011,230.0,7.0,0.030434782608695653,23.0,0.0,0.0,,,,
stationary,1012,230.0,22.0,0.09565217391304348,23.0,0.0,0.0,,,,
stationary,1013,230.0,15.0,0.06521739130434782,23.0,0.0,0.0,,,,
stationary,1014,230.0,27.0,0.11739130434782609,23.0,0.0,0.0,,,,
stationary,1015,230.0,17.0,0.07391304347826087,23.0,0.0,0.0,,,,
stationary,1016,230.0,15.0,0.06521739130434782,23.0,0.0,0.0,,,,
stationary,1017,230.0,16.0,0.06956521739130435,23.0,0.0,0.0,,,,
stationary,1018,230.0,14.0,0.06086956521739131,23.0,0.0,0.0,,,,
stationary,1019,230.0,14.0,0.06086956521739131,23.0,0.0,0.0,,,,
stationary,1020,230.0,12.0,0.05217391304347826,23.0,0.0,0.0,,,,
stationary,1021,230.0,11.0,0.04782608695652174,23.0,0.0,0.0,,,,
stationary,1022,230.0,24.0,0.10434782608695652,23.0,0.0,0.0,,,,
stationary,1023,230.0,14.0,0.06086956521739131,23.0,0.0,0.0,,,,
default,2000,,,,,,,2.0,2.0,1.0,5.0
default,2001,,,,,,,2.0,2.0,1.0,5.0
default,2002,,,,,,,4.0,4.0,1.0,10.0
default,2003,,,,,,,4.0,4.0,1.0,9.0
default,2004,,,,,,,4.0,4.0,1.0,9.0
default,2005,,,,,,,2.0,2.0,1.0,6.0
default,2006,,,,,,,2.0,2.0,1.0,7.0
default,2007,,,,,,,3.0,3.0,1.0,7.0
default,2008,,,,,,,4.0,4.0,1.0,10.0
default,2009,,,,,,,4.0,4.0,1.0,8.0
default,2010,,,,,,,4.0,4.0,1.0,9.0
default,2011,,,,,,,4.0,4.0,1.0,10.0
default,2012,,,,,,,4.0,4.0,1.0,10.0
default,2013,,,,,,,3.0,3.0,1.0,8.0
default,2014,,,,,,,3.0,3.0,1.0,7.0
default,2015,,,,,,,4.0,4.0,1.0,11.0
default,2016,,,,,,,2.0,2.0,1.0,6.0
default,2017,,,,,,,3.0,3.0,1.0,8.0
default,2018,,,,,,,2.0,2.0,1.0,7.0
default,2019,,,,,,,2.0,2.0,1.0,6.0
default,2020,,,,,,,2.0,2.0,1.0,6.0
default,2021,,,,,,,4.0,4.0,1.0,8.0
default,2022,,,,,,,4.0,4.0,1.0,10.0
default,2023,,,,,,,3.0,3.0,1.0,7.0
